frame,x_pose_0,y_pose_0,visibility_pose_0,x_pose_1,y_pose_1,visibility_pose_1,x_pose_2,y_pose_2,visibility_pose_2,x_pose_3,y_pose_3,visibility_pose_3,x_pose_4,y_pose_4,visibility_pose_4,x_pose_5,y_pose_5,visibility_pose_5,x_pose_6,y_pose_6,visibility_pose_6,x_pose_7,y_pose_7,visibility_pose_7,x_pose_8,y_pose_8,visibility_pose_8,x_pose_9,y_pose_9,visibility_pose_9,x_hand1_0,y_hand1_0,z_hand1_0,x_hand1_1,y_hand1_1,z_hand1_1,x_hand1_2,y_hand1_2,z_hand1_2,x_hand1_3,y_hand1_3,z_hand1_3,x_hand1_4,y_hand1_4,z_hand1_4,x_hand1_5,y_hand1_5,z_hand1_5,x_hand2_0,y_hand2_0,z_hand2_0,x_hand2_1,y_hand2_1,z_hand2_1,x_hand2_2,y_hand2_2,z_hand2_2,x_hand2_3,y_hand2_3,z_hand2_3,x_hand2_4,y_hand2_4,z_hand2_4,x_hand2_5,y_hand2_5,z_hand2_5
0,0.5510320067405701,0.33318591117858887,0.9999699592590332,0.37905189394950867,0.31312620639801025,0.9998975992202759,0.5767525434494019,0.4133750796318054,0.9428240060806274,0.29944589734077454,0.3866775929927826,0.9730038642883301,0.6304604411125183,0.3590866029262543,0.9940629601478577,0.35312122106552124,0.3164510428905487,0.9865802526473999,0.5430928468704224,0.477356493473053,0.9997041821479797,0.43370065093040466,0.4750169515609741,0.9996308088302612,0.560692548751831,0.6115045547485352,0.6248320937156677,0.4433314800262451,0.6122257709503174,0.619071364402771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5510755181312561,0.3353736698627472,0.9999679327011108,0.3826931118965149,0.31557464599609375,0.9998924732208252,0.5763393640518188,0.4173336923122406,0.9418786764144897,0.30080926418304443,0.38767150044441223,0.9740276336669922,0.6304569244384766,0.36146998405456543,0.9940628409385681,0.3531760275363922,0.31528177857398987,0.9869676232337952,0.5430908203125,0.47837209701538086,0.9997022151947021,0.4318084418773651,0.47589993476867676,0.9996232390403748,0.5612369775772095,0.615537703037262,0.6334707736968994,0.4369346797466278,0.6132040023803711,0.635503888130188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5515029430389404,0.34140172600746155,0.9999655485153198,0.3878724277019501,0.3210003972053528,0.9998902678489685,0.576238214969635,0.4240654408931732,0.9407596588134766,0.30285412073135376,0.3926074206829071,0.975500226020813,0.6304738521575928,0.3674158751964569,0.9940459132194519,0.3538714647293091,0.31619733572006226,0.9876158237457275,0.5430900454521179,0.4821804463863373,0.9996916651725769,0.4315219223499298,0.47939544916152954,0.9996020197868347,0.5613968372344971,0.6171532273292542,0.6345414519309998,0.4442612826824188,0.6217086911201477,0.6507346034049988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.552846372127533,0.3480411171913147,0.999963104724884,0.39561352133750916,0.3263598382472992,0.9998916387557983,0.5775808095932007,0.4292922019958496,0.9401738047599792,0.3055405020713806,0.3940245807170868,0.9762730598449707,0.6310179233551025,0.3706294596195221,0.9940028190612793,0.35742729902267456,0.3197214603424072,0.9879656434059143,0.5429700016975403,0.48400989174842834,0.9996869564056396,0.43092766404151917,0.47994112968444824,0.9996010065078735,0.5614132285118103,0.6168948411941528,0.6288260817527771,0.44261837005615234,0.6177359819412231,0.6565395593643188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5564180612564087,0.35430243611335754,0.9999590516090393,0.40274903178215027,0.33221399784088135,0.9998892545700073,0.5811834931373596,0.4338046610355377,0.9379188418388367,0.3086322247982025,0.3969224691390991,0.9766104817390442,0.6315540075302124,0.3749207854270935,0.9936363101005554,0.36273425817489624,0.3247491717338562,0.9878044724464417,0.5431154370307922,0.4877621531486511,0.9996829032897949,0.43122923374176025,0.4824141263961792,0.9995919466018677,0.5622870326042175,0.6172189712524414,0.6242020726203918,0.44126278162002563,0.6172349452972412,0.6575751900672913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5649672746658325,0.36290401220321655,0.9999493360519409,0.40779927372932434,0.3383011519908905,0.9998818635940552,0.5856221318244934,0.4419797658920288,0.9324266314506531,0.3123994469642639,0.40354084968566895,0.9763286113739014,0.6327231526374817,0.3798754811286926,0.9925349950790405,0.37234699726104736,0.3333939015865326,0.9875044226646423,0.5431891679763794,0.49303770065307617,0.9996680617332458,0.4322650134563446,0.48845770955085754,0.9995740652084351,0.5631402730941772,0.6173433065414429,0.6289010643959045,0.43644627928733826,0.6166693568229675,0.6651535034179688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.5743383765220642,0.37211671471595764,0.9999402761459351,0.41235554218292236,0.345537006855011,0.9998742341995239,0.5917057991027832,0.44904106855392456,0.9318680763244629,0.31784024834632874,0.4094248414039612,0.9766644239425659,0.6327254176139832,0.3884833753108978,0.9920766353607178,0.384396493434906,0.3426230549812317,0.9874715209007263,0.5435464382171631,0.49964895844459534,0.9996519088745117,0.43420323729515076,0.4955175518989563,0.9995606541633606,0.5634128451347351,0.6230237483978271,0.6415389776229858,0.43656888604164124,0.6210084557533264,0.6728845238685608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.5829741358757019,0.3776457905769348,0.9999337792396545,0.41568437218666077,0.3496432602405548,0.9998701214790344,0.6037755012512207,0.452423632144928,0.9299535155296326,0.3264710605144501,0.4138742685317993,0.9765737652778625,0.6325307488441467,0.397504597902298,0.9909935593605042,0.39897656440734863,0.3529016971588135,0.9868060350418091,0.5443556308746338,0.5047386884689331,0.9996499419212341,0.43706995248794556,0.49879834055900574,0.9995552897453308,0.5637624263763428,0.6239213943481445,0.6646822690963745,0.43506717681884766,0.6212261319160461,0.6905004978179932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.5951066017150879,0.377196729183197,0.9999223351478577,0.42042994499206543,0.3533450961112976,0.9998565316200256,0.6188043355941772,0.45362773537635803,0.9315252900123596,0.3387914001941681,0.4182637631893158,0.974859893321991,0.6236617565155029,0.40649065375328064,0.9896847009658813,0.4085298478603363,0.3642064034938812,0.9843379855155945,0.5483840703964233,0.5047678351402283,0.999615490436554,0.4415678381919861,0.49869608879089355,0.9995010495185852,0.5661939978599548,0.623607873916626,0.6830341815948486,0.4333815574645996,0.6224955916404724,0.7019729018211365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.6021032929420471,0.3769277036190033,0.9998968839645386,0.42667439579963684,0.3581996560096741,0.9998411536216736,0.6265367865562439,0.45487040281295776,0.9310306906700134,0.3483847975730896,0.4209265112876892,0.9739061594009399,0.618079423904419,0.4061467945575714,0.986458420753479,0.4179788827896118,0.3722917437553406,0.9822402000427246,0.5549586415290833,0.509433925151825,0.9995813965797424,0.4472990036010742,0.5026884078979492,0.9994522333145142,0.5660744309425354,0.6212835311889648,0.6924404501914978,0.43333008885383606,0.6220097541809082,0.7017578482627869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.6065196990966797,0.37930983304977417,0.9998955130577087,0.43296703696250916,0.3639492392539978,0.9998462200164795,0.6348207592964172,0.45717400312423706,0.9333550930023193,0.35336044430732727,0.4263352155685425,0.9733419418334961,0.6114177107810974,0.40462854504585266,0.9856019616127014,0.4205624461174011,0.38101470470428467,0.981084406375885,0.557112455368042,0.5111324191093445,0.9995914697647095,0.44911542534828186,0.5050325989723206,0.9994713664054871,0.5646786689758301,0.6200988292694092,0.7047686576843262,0.43173354864120483,0.6216800212860107,0.7121028900146484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.6084970235824585,0.37932926416397095,0.9998928904533386,0.4375188648700714,0.36896252632141113,0.9998345375061035,0.6522775292396545,0.4546990692615509,0.9387782216072083,0.3658251166343689,0.4301442801952362,0.9739329814910889,0.6055001616477966,0.4022102355957031,0.9861605167388916,0.4328899085521698,0.38357773423194885,0.9802209734916687,0.5595883131027222,0.5122283101081848,0.9995757937431335,0.44928985834121704,0.5063953995704651,0.9994413256645203,0.5641957521438599,0.613562822341919,0.7018611431121826,0.43185532093048096,0.6175200343132019,0.7135444283485413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.6109110713005066,0.379202276468277,0.9998970031738281,0.4393218457698822,0.3731856048107147,0.9998366832733154,0.6617041230201721,0.45346683263778687,0.943790078163147,0.37698978185653687,0.43419238924980164,0.9744449257850647,0.6010707020759583,0.40674951672554016,0.9868231415748596,0.4597656726837158,0.38832995295524597,0.9799474477767944,0.5621789693832397,0.5133451819419861,0.9995831847190857,0.44932690262794495,0.5063546895980835,0.999457836151123,0.5642370581626892,0.6136423945426941,0.7111752033233643,0.43195706605911255,0.6155234575271606,0.7296926975250244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
