Feature,Importance
pose_38_x,0.38567966
pose_80_x,0.38470852
pose_23_y,0.38319027
pose_94_x,0.38303557
pose_92_x,0.38230753
pose_33_y,0.380305
pose_86_x,0.3793552
pose_44_x,0.37567744
pose_117_y,0.3755899
pose_92_x,0.3653973
