Feature,Importance
y_pose_4,0.24961738288402557
x_pose_0,0.2486947476863861
x_pose_6,0.24856752157211304
y_pose_8,0.2407478392124176
y_pose_0,0.23560473322868347
x_pose_2,0.18715399503707886
x_pose_4,0.08400308340787888
y_pose_9,0.05977228283882141
y_pose_7,0.05454014241695404
x_pose_7,0.05393233895301819
y_pose_5,0.04453442245721817
y_pose_1,0.04067319631576538
x_pose_9,0.029786013066768646
y_pose_3,0.02531382441520691
y_pose_2,0.02114851027727127
x_pose_5,0.01847882568836212
y_pose_6,0.011275269091129303
x_pose_1,0.011168718338012695
x_pose_8,0.008355885744094849
x_pose_3,0.006754368543624878
