frame,x_pose_0,y_pose_0,visibility_pose_0,x_pose_1,y_pose_1,visibility_pose_1,x_pose_2,y_pose_2,visibility_pose_2,x_pose_3,y_pose_3,visibility_pose_3,x_pose_4,y_pose_4,visibility_pose_4,x_pose_5,y_pose_5,visibility_pose_5,x_pose_6,y_pose_6,visibility_pose_6,x_pose_7,y_pose_7,visibility_pose_7,x_pose_8,y_pose_8,visibility_pose_8,x_pose_9,y_pose_9,visibility_pose_9,x_hand1_0,y_hand1_0,z_hand1_0,x_hand1_1,y_hand1_1,z_hand1_1,x_hand1_2,y_hand1_2,z_hand1_2,x_hand1_3,y_hand1_3,z_hand1_3,x_hand1_4,y_hand1_4,z_hand1_4,x_hand1_5,y_hand1_5,z_hand1_5,x_hand2_0,y_hand2_0,z_hand2_0,x_hand2_1,y_hand2_1,z_hand2_1,x_hand2_2,y_hand2_2,z_hand2_2,x_hand2_3,y_hand2_3,z_hand2_3,x_hand2_4,y_hand2_4,z_hand2_4,x_hand2_5,y_hand2_5,z_hand2_5
0,0.36230602860450745,0.5317105054855347,0.9999904632568359,0.23720680177211761,0.5312550663948059,0.9998689889907837,0.37241488695144653,0.5766705274581909,0.9296932220458984,0.1941363513469696,0.565656304359436,0.396426796913147,0.2821798622608185,0.5734469294548035,0.8787273168563843,0.12520568072795868,0.5795485377311707,0.45221537351608276,0.3156759440898895,0.6153054237365723,0.9999616146087646,0.24292881786823273,0.612403929233551,0.999846339225769,0.25952425599098206,0.6104535460472107,0.9737312197685242,0.25145474076271057,0.5721675157546997,0.8877448439598083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.36114153265953064,0.5325776934623718,0.9999902248382568,0.23710943758487701,0.5322795510292053,0.9998605847358704,0.3718278110027313,0.5763669013977051,0.9273650646209717,0.19246576726436615,0.568566620349884,0.39214831590652466,0.2841247320175171,0.5734139680862427,0.8706503510475159,0.15443432331085205,0.5814162492752075,0.43467146158218384,0.31505200266838074,0.615304708480835,0.9999493360519409,0.24082452058792114,0.6133260726928711,0.9997880458831787,0.2627550959587097,0.5889599919319153,0.9735402464866638,0.21464085578918457,0.5918933153152466,0.8822941780090332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.36056044697761536,0.5327373147010803,0.9999898076057434,0.23702727258205414,0.5328890681266785,0.9998495578765869,0.3716620206832886,0.5760310292243958,0.9248976707458496,0.191689595580101,0.5696385502815247,0.3884356915950775,0.2862814962863922,0.5732495784759521,0.8644506931304932,0.15713168680667877,0.5818137526512146,0.41965147852897644,0.31463202834129333,0.6154820919036865,0.999937117099762,0.23968081176280975,0.6141091585159302,0.9997333884239197,0.26668599247932434,0.5861100554466248,0.9733439683914185,0.21393530070781708,0.5911991596221924,0.8798849582672119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.3598012328147888,0.5328748226165771,0.9999893307685852,0.2370050847530365,0.5332017540931702,0.999846875667572,0.37165307998657227,0.5759491324424744,0.9216917753219604,0.19161149859428406,0.5700030326843262,0.3882927894592285,0.28749170899391174,0.573127031326294,0.855909526348114,0.16218772530555725,0.5817857384681702,0.40876129269599915,0.31425872445106506,0.6156425476074219,0.9999272227287292,0.23935353755950928,0.6147342920303345,0.9996963739395142,0.2672441899776459,0.5850688815116882,0.9730657339096069,0.21571502089500427,0.5896235704421997,0.8776037096977234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.3593355119228363,0.5329715013504028,0.9999889135360718,0.2369316667318344,0.5334623456001282,0.9998488426208496,0.3714461326599121,0.5758485794067383,0.9195844531059265,0.19134549796581268,0.5703014135360718,0.39615052938461304,0.2880922257900238,0.5727757215499878,0.8478509783744812,0.16121071577072144,0.5817805528640747,0.40727850794792175,0.31369608640670776,0.6155508756637573,0.9999196529388428,0.23859640955924988,0.6147854924201965,0.999673068523407,0.26724857091903687,0.5853449702262878,0.9726844429969788,0.2181359827518463,0.5883706212043762,0.8772239089012146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.3589918911457062,0.5329903364181519,0.999988853931427,0.23683255910873413,0.5335983037948608,0.9998491406440735,0.3706916272640228,0.5757651925086975,0.9181042313575745,0.1906757801771164,0.5713798403739929,0.3995031416416168,0.2879529893398285,0.5724694132804871,0.8417468667030334,0.16138772666454315,0.5818033218383789,0.4038289189338684,0.3131594955921173,0.6153357625007629,0.9999184012413025,0.23761945962905884,0.6147536635398865,0.9996615648269653,0.2670162320137024,0.5865170955657959,0.9731137752532959,0.21816782653331757,0.586971640586853,0.8774733543395996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.35898661613464355,0.5329529047012329,0.9999892711639404,0.2368312031030655,0.53357994556427,0.9998520016670227,0.37022554874420166,0.5758129358291626,0.9183946251869202,0.1903628259897232,0.5718058943748474,0.406298965215683,0.28782448172569275,0.572213888168335,0.8380647897720337,0.16450709104537964,0.581853449344635,0.40603962540626526,0.312943696975708,0.6149886846542358,0.9999209642410278,0.2370893508195877,0.614515483379364,0.9996664524078369,0.2659303545951843,0.5886190533638,0.973846971988678,0.219758540391922,0.5861413478851318,0.8785513043403625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.35897061228752136,0.532949686050415,0.9999897480010986,0.23680830001831055,0.5336005091667175,0.9998594522476196,0.3701256215572357,0.5761200189590454,0.9197798371315002,0.19189177453517914,0.5700460076332092,0.41195642948150635,0.28773778676986694,0.5721129775047302,0.8346567749977112,0.16800425946712494,0.581900417804718,0.40559473633766174,0.3126918077468872,0.6150190830230713,0.9999234676361084,0.23714494705200195,0.6139492392539978,0.9996734261512756,0.26577499508857727,0.5895684957504272,0.9750608801841736,0.2213667929172516,0.5840029120445251,0.8812976479530334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.358795702457428,0.5329457521438599,0.9999899864196777,0.23680587112903595,0.5335871577262878,0.9998665452003479,0.370171457529068,0.5762841701507568,0.9182985424995422,0.19430583715438843,0.5686134696006775,0.41261163353919983,0.2876628637313843,0.57198566198349,0.8276292681694031,0.1696586012840271,0.5819903016090393,0.4037739336490631,0.312467485666275,0.6149499416351318,0.9999259114265442,0.23721221089363098,0.6136056184768677,0.9996848106384277,0.26789945363998413,0.5903777480125427,0.9758061766624451,0.22683368623256683,0.579335629940033,0.8847262859344482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.3586893081665039,0.5329313278198242,0.9999899864196777,0.23680244386196136,0.5335779190063477,0.9998726844787598,0.37028056383132935,0.5764490962028503,0.9169407486915588,0.19530799984931946,0.567713737487793,0.4136144816875458,0.2876035273075104,0.5719003677368164,0.8191697597503662,0.16795571148395538,0.5819792747497559,0.4005238711833954,0.31208494305610657,0.6149544715881348,0.9999269843101501,0.23726342618465424,0.6133665442466736,0.9996924996376038,0.26779401302337646,0.590721845626831,0.9764479994773865,0.23057223856449127,0.5779209733009338,0.8873659372329712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
