frame,x_pose_0,y_pose_0,visibility_pose_0,x_pose_1,y_pose_1,visibility_pose_1,x_pose_2,y_pose_2,visibility_pose_2,x_pose_3,y_pose_3,visibility_pose_3,x_pose_4,y_pose_4,visibility_pose_4,x_pose_5,y_pose_5,visibility_pose_5,x_pose_6,y_pose_6,visibility_pose_6,x_pose_7,y_pose_7,visibility_pose_7,x_pose_8,y_pose_8,visibility_pose_8,x_pose_9,y_pose_9,visibility_pose_9,x_hand1_0,y_hand1_0,z_hand1_0,x_hand1_1,y_hand1_1,z_hand1_1,x_hand1_2,y_hand1_2,z_hand1_2,x_hand1_3,y_hand1_3,z_hand1_3,x_hand1_4,y_hand1_4,z_hand1_4,x_hand1_5,y_hand1_5,z_hand1_5,x_hand2_0,y_hand2_0,z_hand2_0,x_hand2_1,y_hand2_1,z_hand2_1,x_hand2_2,y_hand2_2,z_hand2_2,x_hand2_3,y_hand2_3,z_hand2_3,x_hand2_4,y_hand2_4,z_hand2_4,x_hand2_5,y_hand2_5,z_hand2_5
0,0.746221125125885,0.51875239610672,0.9999896287918091,0.6054663062095642,0.5240548849105835,0.999710738658905,0.7910288572311401,0.5648748874664307,0.993735134601593,0.6002523899078369,0.5836573839187622,0.9004154801368713,0.7992488145828247,0.6225671768188477,0.9845227003097534,0.6481863260269165,0.6119052171707153,0.8218352794647217,0.729392945766449,0.6341607570648193,0.9992355108261108,0.6505306363105774,0.6369892358779907,0.9986263513565063,0.7661968469619751,0.7316271662712097,0.9863073229789734,0.655051589012146,0.7335548996925354,0.9760048985481262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7435814142227173,0.5170661211013794,0.9999839067459106,0.6040112376213074,0.5240538120269775,0.9996680617332458,0.7907260656356812,0.564816951751709,0.9926047325134277,0.5974202156066895,0.5808719396591187,0.8959752321243286,0.8011037111282349,0.6223138570785522,0.980053186416626,0.6126301288604736,0.6155351996421814,0.8075916171073914,0.7352350354194641,0.6334280371665955,0.9992303252220154,0.6509319543838501,0.6372219920158386,0.9986777901649475,0.7664600014686584,0.7306404709815979,0.9871481657028198,0.6525276899337769,0.7335928082466125,0.9779377579689026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7410702109336853,0.51398766040802,0.9999822974205017,0.6013018488883972,0.5240376591682434,0.9996653199195862,0.7907260656356812,0.563315212726593,0.9922570586204529,0.5911040902137756,0.5790655612945557,0.8969106674194336,0.8049132823944092,0.6205807328224182,0.9781550168991089,0.5996809601783752,0.6242151856422424,0.8052343726158142,0.7382289171218872,0.6333536505699158,0.9992435574531555,0.6510956883430481,0.6379678845405579,0.998746395111084,0.7675570845603943,0.7307091355323792,0.988020658493042,0.6525518894195557,0.734149158000946,0.9796991944313049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.7384243607521057,0.5110979080200195,0.999982476234436,0.598605751991272,0.5237528681755066,0.9996494054794312,0.7920190691947937,0.5608550906181335,0.9924906492233276,0.5854358673095703,0.5785241723060608,0.8876926898956299,0.8110889196395874,0.6186681389808655,0.9786332249641418,0.6009273529052734,0.6234581470489502,0.7933595180511475,0.7381791472434998,0.6332051157951355,0.9992727637290955,0.6513048410415649,0.6382858753204346,0.9988136887550354,0.7679744958877563,0.7308128476142883,0.9888131618499756,0.6526588201522827,0.7346667647361755,0.9812415242195129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.7356619238853455,0.5094056129455566,0.9999830722808838,0.5962391495704651,0.5231369733810425,0.9996278285980225,0.7931618690490723,0.5587782263755798,0.9928611516952515,0.5833948254585266,0.5759538412094116,0.8783414363861084,0.8127661347389221,0.617699384689331,0.9795709848403931,0.6013705134391785,0.6202637553215027,0.7874177694320679,0.7378604412078857,0.6331601142883301,0.9993126392364502,0.6513181328773499,0.6388647556304932,0.9988837838172913,0.7680902481079102,0.7313145399093628,0.9896212816238403,0.6529068350791931,0.736411988735199,0.9826056957244873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.7351343631744385,0.5083453059196472,0.9999838471412659,0.5951168537139893,0.5222896337509155,0.9996233582496643,0.7954308986663818,0.5570802092552185,0.993303120136261,0.580000638961792,0.5750550627708435,0.8721693158149719,0.8162190914154053,0.6175533533096313,0.9807127714157104,0.6004878878593445,0.6186736822128296,0.7878737449645996,0.7375830411911011,0.6329416036605835,0.9993547797203064,0.6514660120010376,0.6389589905738831,0.9989526867866516,0.768083930015564,0.732396125793457,0.9903281331062317,0.6529356837272644,0.7371482253074646,0.9837837815284729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.7352233529090881,0.5081235766410828,0.9999850988388062,0.594001829624176,0.5211729407310486,0.9996432065963745,0.7978717684745789,0.5567883849143982,0.993867039680481,0.577785313129425,0.5753676891326904,0.8764239549636841,0.8173372745513916,0.6177323460578918,0.9822251200675964,0.5990662574768066,0.619374692440033,0.8009887933731079,0.7376129031181335,0.6322656273841858,0.9993952512741089,0.652374267578125,0.6389342546463013,0.999016523361206,0.7696372270584106,0.7335764765739441,0.99094557762146,0.6529656648635864,0.7370688319206238,0.984670877456665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7352964282035828,0.5085313320159912,0.9999857544898987,0.5942332148551941,0.5212162733078003,0.9996251463890076,0.8000563979148865,0.556966245174408,0.994231641292572,0.5795146226882935,0.5756044387817383,0.8600897789001465,0.8191839456558228,0.6183516383171082,0.9830130934715271,0.6031590104103088,0.6191806197166443,0.7889406681060791,0.7380315065383911,0.6322711706161499,0.999428927898407,0.6539134383201599,0.6390841007232666,0.9990349411964417,0.7717384099960327,0.7345289587974548,0.9911978244781494,0.6536087393760681,0.7370887994766235,0.9844960570335388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.7351642847061157,0.5087477564811707,0.9999865293502808,0.5943961143493652,0.5212557315826416,0.9995595812797546,0.8034327030181885,0.5574800372123718,0.9946580529212952,0.5805509686470032,0.5758755803108215,0.8197348713874817,0.8222475051879883,0.6226978898048401,0.9839769005775452,0.599902868270874,0.6189873814582825,0.7646273374557495,0.7383468151092529,0.6322786211967468,0.999460756778717,0.6558026075363159,0.6392344832420349,0.9990412592887878,0.772868812084198,0.7349229454994202,0.9912674427032471,0.654944658279419,0.7370677590370178,0.9835047721862793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.7353118062019348,0.51157546043396,0.9999873638153076,0.5978744626045227,0.5229352712631226,0.9995288848876953,0.8082119226455688,0.5628598928451538,0.9950726628303528,0.5835306644439697,0.5760557651519775,0.7811307907104492,0.8248715400695801,0.6302375197410583,0.9851250648498535,0.6011965274810791,0.6140512228012085,0.750179648399353,0.7397716641426086,0.6333960294723511,0.9994990229606628,0.6586514711380005,0.6405931711196899,0.9990708827972412,0.7738713622093201,0.7358466982841492,0.9908820390701294,0.6563522815704346,0.7370997071266174,0.981493353843689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
