frame,x_pose_0,y_pose_0,visibility_pose_0,x_pose_1,y_pose_1,visibility_pose_1,x_pose_2,y_pose_2,visibility_pose_2,x_pose_3,y_pose_3,visibility_pose_3,x_pose_4,y_pose_4,visibility_pose_4,x_pose_5,y_pose_5,visibility_pose_5,x_pose_6,y_pose_6,visibility_pose_6,x_pose_7,y_pose_7,visibility_pose_7,x_pose_8,y_pose_8,visibility_pose_8,x_pose_9,y_pose_9,visibility_pose_9,x_hand1_0,y_hand1_0,z_hand1_0,x_hand1_1,y_hand1_1,z_hand1_1,x_hand1_2,y_hand1_2,z_hand1_2,x_hand1_3,y_hand1_3,z_hand1_3,x_hand1_4,y_hand1_4,z_hand1_4,x_hand1_5,y_hand1_5,z_hand1_5,x_hand2_0,y_hand2_0,z_hand2_0,x_hand2_1,y_hand2_1,z_hand2_1,x_hand2_2,y_hand2_2,z_hand2_2,x_hand2_3,y_hand2_3,z_hand2_3,x_hand2_4,y_hand2_4,z_hand2_4,x_hand2_5,y_hand2_5,z_hand2_5
0,0.8035366535186768,0.49283504486083984,0.9994027614593506,0.4268575608730316,0.4728204607963562,0.9932373762130737,0.8767367601394653,0.7995736002922058,0.962956428527832,0.41018781065940857,0.6823225021362305,0.112815260887146,0.8468169569969177,1.0777955055236816,0.6783921718597412,0.3761692941188812,0.8329609036445618,0.03543076664209366,0.7264205813407898,0.9280375838279724,0.7579928040504456,0.5136157870292664,0.9216713309288025,0.6202675700187683,0.7175226807594299,1.254064917564392,0.13366730511188507,0.4762096703052521,1.235315203666687,0.08685040473937988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7864693999290466,0.4773256182670593,0.9994503855705261,0.45258447527885437,0.4803003966808319,0.9937265515327454,0.8749704957008362,0.7910184264183044,0.9642513394355774,0.4438556432723999,0.695118248462677,0.11075340956449509,0.8416489958763123,1.064773440361023,0.6924442052841187,0.3282325565814972,0.79946368932724,0.03977368026971817,0.7140659093856812,0.928838312625885,0.7360336780548096,0.514927864074707,0.9225383400917053,0.6022461652755737,0.722545325756073,1.2672454118728638,0.12139187008142471,0.4775923788547516,1.257153868675232,0.07920880615711212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7853398323059082,0.4695362150669098,0.9994910359382629,0.461453914642334,0.4820948839187622,0.9941323399543762,0.8796787858009338,0.7803527116775513,0.9659238457679749,0.45522499084472656,0.7019029855728149,0.11194191128015518,0.7989012598991394,1.0404053926467896,0.7053205370903015,0.3306944668292999,0.8016800284385681,0.04300985857844353,0.7085978388786316,0.92892986536026,0.7231472134590149,0.5158602595329285,0.9228315949440002,0.5912032723426819,0.7259264588356018,1.2703241109848022,0.11058133840560913,0.4782349467277527,1.2601068019866943,0.07260266691446304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.783840537071228,0.4656388461589813,0.9995254874229431,0.46431756019592285,0.48343122005462646,0.9944695234298706,0.8833503723144531,0.7681801319122314,0.9675976037979126,0.45621198415756226,0.7036442756652832,0.11194450408220291,0.7938426733016968,1.0273807048797607,0.7190994620323181,0.33423441648483276,0.8054009675979614,0.046502843499183655,0.7012364268302917,0.9272597432136536,0.7247645854949951,0.5158923268318176,0.9227184653282166,0.5947092175483704,0.7248174548149109,1.2695335149765015,0.10174580663442612,0.4782327711582184,1.2587038278579712,0.06748300045728683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.7842344045639038,0.4667302370071411,0.9995532631874084,0.46237486600875854,0.48357295989990234,0.9946584701538086,0.9068346619606018,0.7712711691856384,0.9697388410568237,0.4567706882953644,0.7032493352890015,0.11192210763692856,0.8366726636886597,1.0423438549041748,0.7367687821388245,0.3368853032588959,0.8085833787918091,0.05157357081770897,0.7041812539100647,0.9274068474769592,0.734593391418457,0.5137397646903992,0.9241613149642944,0.6058221459388733,0.7247116565704346,1.2699061632156372,0.09386253356933594,0.4778692424297333,1.257938265800476,0.06300140917301178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.7843433618545532,0.464066743850708,0.999573826789856,0.45884841680526733,0.47827985882759094,0.9948226809501648,0.9229493737220764,0.757979691028595,0.9715582132339478,0.4578359127044678,0.7027353644371033,0.10936455428600311,0.8510569334030151,1.0318118333816528,0.7480970621109009,0.3699020445346832,0.8294723629951477,0.05194884538650513,0.7112746238708496,0.9189108610153198,0.7440051436424255,0.5107941031455994,0.9199912548065186,0.6156536340713501,0.7191770076751709,1.2599318027496338,0.08999087661504745,0.4777929186820984,1.2488094568252563,0.06047087535262108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.7848116755485535,0.459706574678421,0.9995955228805542,0.45577406883239746,0.47569841146469116,0.9948990345001221,0.9381335973739624,0.7501316666603088,0.9735867977142334,0.4568078815937042,0.7021012306213379,0.10781579464673996,0.8756963610649109,1.0176650285720825,0.7632052302360535,0.3862678110599518,0.8603014945983887,0.05195257067680359,0.7115327715873718,0.9156588315963745,0.7442639470100403,0.5017872452735901,0.9189371466636658,0.614220380783081,0.7171540260314941,1.2598469257354736,0.084385447204113,0.4764370322227478,1.2487837076187134,0.057150423526763916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7854477763175964,0.46081864833831787,0.9996258616447449,0.4457380175590515,0.47105708718299866,0.99513840675354,0.9471911787986755,0.7482538819313049,0.9756382703781128,0.4558326303958893,0.6995918154716492,0.10602673143148422,0.9170186519622803,1.0129233598709106,0.7788624167442322,0.39462873339653015,0.8581476211547852,0.05085435137152672,0.7136380672454834,0.9162800908088684,0.7359176278114319,0.4910295605659485,0.9189854860305786,0.5984833240509033,0.7171423435211182,1.259856104850769,0.07748767733573914,0.4644407033920288,1.2487461566925049,0.05265104025602341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.7873387336730957,0.4613906443119049,0.9996539950370789,0.4276486933231354,0.4711909592151642,0.995453953742981,0.9450607895851135,0.7488945722579956,0.977023184299469,0.448880136013031,0.6965737342834473,0.10670357197523117,0.9431568384170532,1.0108935832977295,0.7855814099311829,0.3920067846775055,0.8584091663360596,0.0496571883559227,0.7167701721191406,0.9163556098937988,0.7367525100708008,0.47916296124458313,0.9190162420272827,0.596104621887207,0.7194170355796814,1.2587199211120605,0.07095744460821152,0.4629657566547394,1.248677134513855,0.04830413684248924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.7861286997795105,0.46530455350875854,0.9996780157089233,0.41141822934150696,0.471724271774292,0.9957281947135925,0.939042329788208,0.7516148090362549,0.9772821068763733,0.41065970063209534,0.6952170729637146,0.1054331511259079,0.9741668701171875,1.0231643915176392,0.7879695892333984,0.37915053963661194,0.8618289232254028,0.04804268106818199,0.7138740420341492,0.9177426695823669,0.712768018245697,0.46586501598358154,0.9234826564788818,0.5666207671165466,0.7189374566078186,1.2645702362060547,0.06433439999818802,0.4607328176498413,1.2585591077804565,0.043956607580184937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.7858994007110596,0.47536665201187134,0.9997002482414246,0.3942965269088745,0.4717652201652527,0.9960569739341736,0.9387092590332031,0.7542385458946228,0.9781575798988342,0.3906418979167938,0.695399284362793,0.10852746665477753,0.9819942116737366,1.0360146760940552,0.7836419343948364,0.36630377173423767,0.8627049922943115,0.04611337184906006,0.7139338254928589,0.9236488938331604,0.7106850743293762,0.45379021763801575,0.927863597869873,0.558180570602417,0.7184138894081116,1.270700454711914,0.058384787291288376,0.4452263414859772,1.266889214515686,0.03990809619426727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.7849900722503662,0.48263177275657654,0.999719500541687,0.38758450746536255,0.4729250967502594,0.9963330626487732,0.936025857925415,0.7608364224433899,0.9787242412567139,0.3799430727958679,0.7030273079872131,0.11536026000976562,0.9877482056617737,1.0377706289291382,0.771207332611084,0.35380783677101135,0.8743807077407837,0.04346597567200661,0.7182294726371765,0.9269018769264221,0.7043091058731079,0.45011451840400696,0.9298993349075317,0.5459430813789368,0.7225302457809448,1.2743990421295166,0.05277032032608986,0.44495972990989685,1.2710140943527222,0.03607857972383499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.7830109000205994,0.4916748106479645,0.9997102618217468,0.3841509222984314,0.47406426072120667,0.996436595916748,0.9427635669708252,0.7587506771087646,0.9789685606956482,0.3705911338329315,0.7034158110618591,0.12040486186742783,1.0127400159835815,1.0073702335357666,0.760688066482544,0.341212660074234,0.872515857219696,0.043489351868629456,0.7292562127113342,0.9277380704879761,0.7256320118904114,0.4534793794155121,0.9298310875892639,0.5771377086639404,0.7420483231544495,1.2728354930877686,0.05641475319862366,0.4764019250869751,1.2692762613296509,0.03856087103486061,0.2994140684604645,0.8217271566390991,1.0069884126551187e-07,0.28050997853279114,0.8866332769393921,0.003141017397865653,0.2752901315689087,0.9231761693954468,1.4126992027740926e-05,0.2753990590572357,0.9248145222663879,-0.0036329859867691994,0.27554672956466675,0.9214207530021667,-0.00024170866527128965,0.27535179257392883,0.9138465523719788,0.0015369593165814877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.774985671043396,0.4944830536842346,0.9996579885482788,0.38707178831100464,0.4808710217475891,0.996493935585022,0.969720184803009,0.7530330419540405,0.9784629344940186,0.3744237422943115,0.7046167850494385,0.13090158998966217,1.118411660194397,0.9997583627700806,0.7540019750595093,0.3145486116409302,0.8584098815917969,0.05049707740545273,0.7290636301040649,0.9314538836479187,0.7436811923980713,0.4525277316570282,0.9335454106330872,0.6055104732513428,0.7406916618347168,1.2753567695617676,0.06304080039262772,0.4792104959487915,1.2720386981964111,0.04308061674237251,0.2937471270561218,0.8206332921981812,2.3795340098331508e-07,0.2658291757106781,0.8701261878013611,-0.05538380891084671,0.2580316364765167,0.9290425181388855,-0.07213905453681946,0.25763794779777527,0.9319133758544922,-0.06384853273630142,0.26044461131095886,0.9281182289123535,-0.049546945840120316,0.2647680342197418,0.9164687395095825,-0.041695237159729004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7590332627296448,0.4892171323299408,0.9995454549789429,0.3890421390533447,0.48205018043518066,0.9961954951286316,1.0002362728118896,0.7121905088424683,0.9784473180770874,0.35658565163612366,0.7037673592567444,0.12915703654289246,1.280056118965149,0.9115837812423706,0.7496166229248047,0.31659069657325745,0.8541892170906067,0.053395744413137436,0.7144564986228943,0.9313216209411621,0.7621267437934875,0.4461072087287903,0.9333917498588562,0.632952094078064,0.7194451689720154,1.2739527225494385,0.07555422186851501,0.4710753560066223,1.2671431303024292,0.050507690757513046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
